hub,source_page,anchor,verdict,recommendation,repoint_to
/oakland,/california-broken-neck-injury-lawyer,personal injury offices in Oakland,OK,Descriptive anchor pointing at the right page,
/oakland,/california-bicycle-accident-lawyers,Oakland,REPOINT,"Source is a bicycle practice page and /oakland/bicycle-accident-lawyers exists — repoint there with anchor ""Oakland bicycle accident lawyers""",/oakland/bicycle-accident-lawyers
/oakland,/motorcycle-accident-lawyers,Oakland,REPOINT,"Source is a motorcycle practice page and /oakland/motorcycle-accidents exists — repoint there with anchor ""Oakland motorcycle accident lawyers""",/oakland/motorcycle-accidents
/oakland,/,Oakland,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""Oakland personal injury lawyers"" or ""Oakland car accident lawyers""",
/oakland,/broken-hip-injury-attorney,Oakland,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""Oakland personal injury lawyers"" or ""Oakland car accident lawyers""",
/oakland,/car-accident-lawyers,Oakland,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""Oakland personal injury lawyers"" or ""Oakland car accident lawyers""",
/oakland,/hit-run-attorney,Oakland,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""Oakland personal injury lawyers"" or ""Oakland car accident lawyers""",
/oakland,/personal-injury-attorneys,Oakland,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""Oakland personal injury lawyers"" or ""Oakland car accident lawyers""",
/oakland,/amputation-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/boat-accident-lawyers/settlement-calculator,office,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/california-crps-attorneys/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/california-construction-accident-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/california-broken-neck-injury-lawyer/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/car-accident-lawyers/rear-end-car-accidents/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/degloving-injury-lawyer/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/dangerous-road-accident-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/electric-scooter-injury-attorneys/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/eye-injury-vision-loss-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/hip-injury-settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/motorcycle-accident-settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/scarring-and-disfigurement-lawyer/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/taxi-accident-attorney/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/trauma-activation-injury-attorney/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/train-accident-lawyers/settlement-calculator,"office location,",WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/oakland,/truck-accident-lawyers/logging-truck-accident/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""Oakland personal injury office"" (one template fix)",
/san-francisco,/california-bicycle-accident-lawyers/settlement-calculator,[empty],BROKEN,Empty anchor — add descriptive text,
/san-francisco,/california-roof-crush-injury-lawyers/settlement-calculator,[empty],BROKEN,Empty anchor — add descriptive text,
/san-francisco,/broken-bones-lawyer,personal injury cases in San Francisco,OK,Descriptive anchor pointing at the right page,
/san-francisco,/broken-bones-lawyer,Bay Area personal injury attorney,OK,Descriptive anchor pointing at the right page,
/san-francisco,/california-broken-neck-injury-lawyer,neck injury in an accident in the Bay Area,OK,Descriptive anchor pointing at the right page,
/san-francisco,/car-accident-lawyers/rideshare-uber-lyft-accidents,Lyft accident in San Francisco,OK,Descriptive anchor pointing at the right page,
/san-francisco,/california-bicycle-accident-lawyers,San Francisco,REPOINT,"Source is a bicycle practice page and /san-francisco/bicycle-accident-lawyers exists — repoint there with anchor ""San Francisco bicycle accident lawyers""",/san-francisco/bicycle-accident-lawyers
/san-francisco,/motorcycle-accident-lawyers,San Francisco,REPOINT,"Source is a motorcycle practice page and /san-francisco/motorcycle-accidents exists — repoint there with anchor ""San Francisco motorcycle accident lawyers""",/san-francisco/motorcycle-accidents
/san-francisco,/,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/car-accident-lawyers,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/hit-run-attorney,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/muni-bus-accident-lawyer,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/personal-injury-attorneys,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/train-accident-lawyers,San Francisco,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/underinsured-motorist-lawyers,San Francisco Bay Area,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Francisco personal injury lawyers"" or ""San Francisco car accident lawyers""",
/san-francisco,/amputation-injury-lawyer-california/settlement-calculator,office locatio,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
